SG_UE;NM_UE;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO
SP;SAO PAULO;3;GOVERNADOR;391;LUIZ ANTONIO DE MEDEIROS NETO;MEDEIROS;39;PP
SP;SAO PAULO;3;GOVERNADOR;131;JOSE DIRCEU DE OLIVEIRA E SILVA;ZE DIRCEU;13;PT
SP;SAO PAULO;3;GOVERNADOR;121;FRANCISCO ROSSI DE ALMEIDA;FRANCISCO ROSSI;12;PDT
SP;SAO PAULO;3;GOVERNADOR;201;EDUARDO ANTONIO ROMANINI RESSTOM;EDUARDO RESSTOM;20;PSC
SP;SAO PAULO;3;GOVERNADOR;451;MARIO COVAS JUNIOR;MARIO COVAS;45;PSDB
SP;SAO PAULO;3;GOVERNADOR;151;JOSE ANTONIO BARROS MUNHOZ;BARROS MUNHOZ;15;PMDB
SP;SAO PAULO;3;GOVERNADOR;361;CIRO TIZIANI MOURA;CIRO T. MOURA;36;PRN
SP;SAO PAULO;3;GOVERNADOR;561;ALVARO BRANDAO SOARES DUTRA;BRIGSOARESDUTRA;56;PRONA
SP;SAO PAULO;5;SENADOR;133;LUIZA ERUNDINA DE SOUSA;LUIZA ERUNDINA;13;PT
SP;SAO PAULO;5;SENADOR;153;JOSE MACHADO DE CAMPOS FILHO;MACHADO;15;PMDB
SP;SAO PAULO;5;SENADOR;232;JOAO HERRMANN NETO;JOAO HERRMANN;23;PPS
SP;SAO PAULO;5;SENADOR;222;ROMEU TUMA;ROMEU TUMA;22;PL
SP;SAO PAULO;5;SENADOR;112;MIGUEL COLASUONNO;COLASSUONO;11;PPR
SP;SAO PAULO;5;SENADOR;362;JOSE JACINTO ALVES FILHO;JOSE PREGO;36;PRN
SP;SAO PAULO;5;SENADOR;142;JOAO BRASIL VITA;BRASIL VITA;14;PTB
SP;SAO PAULO;5;SENADOR;452;JOSE SERRA;JOSE SERRA;45;PSDB
SP;SAO PAULO;5;SENADOR;562;PAULO FLORES JUNIOR;DR PAULO FLORES;56;PRONA
SP;SAO PAULO;5;SENADOR;443;ELIAS JORGE;ELIAS JORGE;44;PRP
SP;SAO PAULO;5;SENADOR;122;CARLOS ALBERTO DE MELLO CABOCLO;CARLOS CABOCLO;12;PDT
SP;SAO PAULO;5;SENADOR;202;DENISE POMPEU DE TOLEDO;POMPEU TOLEDO;20;PSC
SP;SAO PAULO;5;SENADOR;253;JOAO LEITE NETO;JOAO LEITE NETO;25;PFL
