SG_UF;SG_UE;NM_UE;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO
SP;SP;SÃO PAULO;GOVERNADOR;20;EDSON FALANGA;FALANGA;20;PSC;PARTIDO SOCIAL CRISTÃO
SP;SP;SÃO PAULO;GOVERNADOR;56;CONSTANTINO CURY NETO;CONSTANTINO CURY NETO;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL
SP;SP;SÃO PAULO;GOVERNADOR;16;ANTONIO DONIZETE FERREIRA;ANTONIO FERREIRA;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
SP;SP;SÃO PAULO;GOVERNADOR;45;MÁRIO COVAS JUNIOR;MÁRIO COVAS;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
SP;SP;SÃO PAULO;GOVERNADOR;15;ORESTES QUERCIA;QUÉRCIA;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
SP;SP;SÃO PAULO;GOVERNADOR;12;FRANCISCO ROSSI DE ALMEIDA;FRANCISCO ROSSI;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA
SP;SP;SÃO PAULO;GOVERNADOR;27;JOÃO MANUEL BAPTISTA;JOÃO MANUEL;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
SP;SP;SÃO PAULO;GOVERNADOR;11;PAULO SALIM MALUF;PAULO MALUF;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO
SP;SP;SÃO PAULO;GOVERNADOR;28;JOSÉ LEVY FIDELIX DA CRUZ;LEVY FIDELIX;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
SP;SP;SÃO PAULO;GOVERNADOR;45;MÁRIO COVAS JUNIOR;MÁRIO COVAS;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
SP;SP;SÃO PAULO;GOVERNADOR;13;MARTA TERESA SUPLICY;MARTA SUPLICY;13;PT;PARTIDO DOS TRABALHADORES
SP;SP;SÃO PAULO;GOVERNADOR;11;PAULO SALIM MALUF;PAULO MALUF;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO
SP;SP;SÃO PAULO;SENADOR;30;NAPOLEON MIGUEL ALVES;NAPOLEÃO ALVES;30;PGT;PARTIDO GERAL DOS TRABALHADORES
SP;SP;SÃO PAULO;SENADOR;14;JOÃO LEITE NETO;JOÃO LEITE NETO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO
SP;SP;SÃO PAULO;SENADOR;43;DOMINGOS FERNANDES;DOMINGOS FERNANDES;43;PV;PARTIDO VERDE
SP;SP;SÃO PAULO;SENADOR;16;MAURO AILTON PUERRO;MAURO PUERRO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
SP;SP;SÃO PAULO;SENADOR;28;NICANOR AGUIAR FILHO;AGUIAR FILHO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
SP;SP;SÃO PAULO;SENADOR;20;KAYO FUKUDA;KAYO FUKUDA;20;PSC;PARTIDO SOCIAL CRISTÃO
SP;SP;SÃO PAULO;SENADOR;20;PEDRO DE CAMILO NETTO;PEDRO DE CAMILO NETTO;20;PSC;PARTIDO SOCIAL CRISTÃO
SP;SP;SÃO PAULO;SENADOR;15;JOOJI HATO;JOOJI HATO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO
SP;SP;SÃO PAULO;SENADOR;13;EDUARDO MATARAZZO SUPLICY;SUPLICY;13;PT;PARTIDO DOS TRABALHADORES
SP;SP;SÃO PAULO;SENADOR;40;ALMINO MONTEIRO ALVARES AFFONSO;ALMINO AFFONSO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO
SP;SP;SÃO PAULO;SENADOR;27;OSMAR BALDIN SIMIONATTO;OSMAR SIMIONATTO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO
SP;SP;SÃO PAULO;SENADOR;56;PAULO CESAR CORRÊA;PAULO CORRÊA;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL
SP;SP;SÃO PAULO;SENADOR;11;OSCAR DANIEL BEZERRA SCHMIDT;OSCAR DO BASQUETE;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO
SP;SP;SÃO PAULO;SENADOR;70;LEÔNIDAS RODRIGUES DE OLIVEIRA;LEÔNIDAS R. DE OLIVEIRA;70;PT do B;PARTIDO TRABALHISTA DO BRASIL
